OrganisationId,ProbabilityPrivate
000403BF-769B-412D-BCF4-5963D425DF40,0.947328182049
000557E6-19A4-44E6-BBCC-D32E1DA9530D,0.947328182049
0005728F-26ED-465D-8DCE-C49F181EDB2E,0.62
000EA318-FEA3-4E11-80EB-BA2DDFB6D4A8,0.46778038176
000EA7A7-F64A-43B4-BE9D-A89C153CA127,0.62
0011293F-76E2-4598-8FFD-D181D10EDCDA,0.553615165122
001A9539-D17B-471F-AF23-32C2FCE17B3C,0.62
00217258-8970-48BA-BFC5-B96B8758E966,0.426295555435
00226A75-406D-4E67-84C3-C4A2BE1D78A8,0.426295555435
002CE110-055B-422C-AFCD-EA3FA05D8035,0.62
003A13BE-3C95-4041-B76D-1658FB2720DA,0.62
00497392-EEA9-474F-8D04-B39E857D34B4,0.62
004A005A-4BD6-42C4-A010-F4E32E752F32,0.431795416557
004D45B1-1043-4F35-A726-4BC72A9655E6,0.83815560455
004F0C30-DD3A-46BB-83B6-8FB4A0D4824F,0.857596707304
0053BE0B-3E3B-4100-A890-D1D25441DF79,0.62
00587E2C-80B9-48B0-A9C7-14FE7C1B3D7D,0.155590387003
0058C3CB-BF17-49E7-8231-EF3C4F748714,0.932749760332
006C13E9-DF7A-4918-AB12-0076CD8137EB,0.556531139823
006E1E61-9DC6-4DFB-8DE0-2133AE466EF9,0.62
0071B0B9-5BB9-487A-98C6-88AC547F6582,0.62
0073639C-434E-46F8-ABA9-5137C186C834,0.254570679733
0077E814-DA58-4AD6-AF29-8D38B52CE78E,0.798471242938
007B21BF-7257-4E26-B451-C9C6DDC117A9,0.857596707304
007D4E39-DB7A-4343-AA8F-8BA011CDB8E7,0.5555249343
007E0817-B05C-490A-B38A-2EDA79558DDD,0.254570679733
007EC974-4DF7-41A7-9D83-21936DF8F0D1,0.947328182049
007F45C1-F219-49F9-9D4B-A8E1A0D08659,0.62
007FE212-AEA6-47BA-8CE8-FECECD39FDC4,0.841009221745
0082CAA7-C2CD-40C5-920B-06B26B29CF40,0.947328182049
00839D07-36CF-4CB7-9A1A-251B3197872C,0.537787842931
00866200-F62B-429B-BF02-A0A841684ED5,0.155590387003
0093CC3C-271A-4D97-BF34-EAE590D64E05,0.62
009C10C1-7EA2-4AC2-B7E9-C0898472C670,0.301499432369
009E057D-9C56-468E-B384-71EB7FA711DB,0.155590387003
00A32ADA-348A-44B4-BC99-1F406206F77F,0.947328182049
00A39D09-2D20-493F-8957-568013580258,0.62
00A57DF7-1264-41C3-853E-387F37F04717,0.947328182049
00AA544E-BE18-4836-AFDB-A3C528694285,0.62
00AF65F4-71BA-4F30-8F4F-9664DD6330AA,0.62
00B0CA93-F140-440D-A704-D64FDE0E8276,0.62
00B2DF94-00DD-4632-929C-904EB6A0634F,0.62
00B59BE5-5F6E-4806-AA35-B1E9705CF307,0.62
00B96B44-82EB-45CC-8656-1952B4A810A8,0.262975945222
00BB5B5D-0AE4-4530-9EA9-66856582F4FD,0.947328182049
00CB4661-4256-429A-B30B-3BD1E02F9C88,0.947328182049
00CC9A54-DB19-4505-8978-7ED437FBA419,0.83815560455
00CD2807-43E8-4546-8107-FF555E8E01C5,0.62
00CD418D-A151-4189-B6D0-61EF146BFE45,0.715319498712
00CD5469-9E46-4174-91C2-21898D8F3C33,0.254570679733
00D00605-515F-4AF7-A82B-F4E295EA4A79,0.947328182049
00D6F1D2-480D-494B-A1C7-8FD70611647A,0.62
00D885FB-11BE-4591-A223-8EBA73F7D510,0.823843994173
00D94766-EA95-425A-9DE8-D5339977007B,0.62
00DDCAAA-E7D8-4C10-8CB4-165BC1A4A663,0.62
00DF5D57-B2AD-4880-A035-4E5B1F1494E9,0.62
00DFC709-6B3C-4C17-B060-6FA2A273A1AB,0.78996827383
00E14C84-ADEB-4CC5-ABBB-F28F6F1B756A,0.62
00E5E70E-D81A-4642-B43E-C45F6FDE38A6,0.455720673136
00E9A676-30AD-4AA0-A956-771A9169765C,0.62
00E9FE34-EC0A-4427-AA76-90689634D40F,0.947328182049
00EAACA8-FFBF-44BD-B41E-882703873CD8,0.537787842931
00EC20FC-0A52-4E75-AD18-76D918C1BC94,0.420765112129
00EE3C42-73D4-4F15-8830-9E82410118F8,0.414034775137
00F2AC2B-176C-4146-AF57-F84FDD0AE3DD,0.507843506889
01029E57-5A85-4B3A-8E4C-43A9A4D55433,0.62
0107329B-F086-4C36-8652-5AF6752EC6DC,0.254570679733
0108A969-0574-4F98-8E45-E4917A1B07BC,0.62
010FB6EF-40ED-4143-B7AA-5754749F12BD,0.267529650083
011088C3-D3CE-4AB7-BE50-4F123B94C678,0.62
0115E101-9C20-42A0-9C7D-CCEE26F330C6,0.386478967077
011B00CD-C957-4D21-9C10-A25C1D331A09,0.947328182049
011B1E3B-AA57-4A11-9CCC-8FFE5616E9F2,0.62
011CAB97-2CAC-4E2B-B02B-587B33362C66,0.62
